HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season,home_fpl,away_fpl,home_win,away_win
Crystal Palace,Southampton,0,0,D,,,,1994-95,63.61904761904762,60.0,0.2818181818181818,0.17475728155339806
Liverpool,Tottenham,1,1,D,,,,1994-95,70.07407407407408,95.5,0.5793357933579336,0.28044280442804426
Southampton,Chelsea,0,1,A,,,,1994-95,60.0,101.9,0.41262135922330095,0.42435424354243545
Tottenham,Newcastle,4,2,H,,,,1994-95,95.5,0.0,0.4944649446494465,0.1910569105691057
Newcastle,Leicester,3,1,H,,,,1994-95,0.0,59.875,0.44715447154471544,0.23776223776223776
Liverpool,Crystal Palace,0,0,D,,,,1994-95,70.07407407407408,63.61904761904762,0.5793357933579336,0.22727272727272727
Man City,Arsenal,1,2,A,,,,1994-95,81.95,68.92857142857143,0.5401785714285714,0.36900369003690037
Everton,Tottenham,0,0,D,,,,1994-95,62.32142857142857,95.5,0.42435424354243545,0.28044280442804426
West Ham,Man City,3,0,H,,,,1994-95,68.04545454545455,81.95,0.371900826446281,0.33482142857142855
Chelsea,Liverpool,0,0,D,,,,1994-95,101.9,70.07407407407408,0.6051660516605166,0.35424354243542433
Chelsea,Man United,2,3,A,,,,1994-95,101.9,70.6,0.6051660516605166,0.47601476014760147
Leicester,Liverpool,1,2,A,,,,1994-95,59.875,70.07407407407408,0.34965034965034963,0.35424354243542433
Tottenham,Crystal Palace,0,0,D,,,,1994-95,95.5,63.61904761904762,0.4944649446494465,0.22727272727272727
Liverpool,Man City,2,0,H,,,,1994-95,70.07407407407408,81.95,0.5793357933579336,0.33482142857142855
Man United,Leicester,1,1,D,,,,1994-95,70.6,59.875,0.6678966789667896,0.23776223776223776
Southampton,Man United,2,2,D,,,,1994-95,60.0,70.6,0.41262135922330095,0.47601476014760147
Newcastle,Man City,0,0,D,,,,1994-95,0.0,81.95,0.44715447154471544,0.33482142857142855
Tottenham,Arsenal,1,0,H,,,,1994-95,95.5,68.92857142857143,0.4944649446494465,0.36900369003690037
Arsenal,Everton,1,1,D,,,,1994-95,68.92857142857143,62.32142857142857,0.6383763837638377,0.21033210332103322
Crystal Palace,Leicester,2,0,H,,,,1994-95,63.61904761904762,59.875,0.2818181818181818,0.23776223776223776
West Ham,Tottenham,1,2,A,,,,1994-95,68.04545454545455,95.5,0.371900826446281,0.28044280442804426
Newcastle,Man United,1,1,D,,,,1994-95,0.0,70.6,0.44715447154471544,0.47601476014760147
Everton,Crystal Palace,3,1,H,,,,1994-95,62.32142857142857,63.61904761904762,0.42435424354243545,0.22727272727272727
Arsenal,Southampton,1,1,D,,,,1994-95,68.92857142857143,60.0,0.6383763837638377,0.17475728155339806
Liverpool,Everton,0,0,D,,,,1994-95,70.07407407407408,62.32142857142857,0.5793357933579336,0.21033210332103322
Crystal Palace,Man United,1,1,D,,,,1994-95,63.61904761904762,70.6,0.2818181818181818,0.47601476014760147
Man City,Leicester,0,1,A,,,,1994-95,81.95,59.875,0.5401785714285714,0.23776223776223776
Newcastle,Everton,2,0,H,,,,1994-95,0.0,62.32142857142857,0.44715447154471544,0.21033210332103322
Leicester,West Ham,1,2,A,,,,1994-95,59.875,68.04545454545455,0.34965034965034963,0.19421487603305784
